title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
Twine,"Allan pillai",Axt,GBKQU2177673,tidal,194470036,396s,,,http://www.tidal.com/track/194470036
"Mutate & Survive","Oliver Ho, James Ruskin","Metro Dance Club - Tension 2000 by José Rives",ESA060010404,tidal,175048620,191s,,,http://www.tidal.com/track/175048620
"Syndrome (Takaaki Itoh Remix)",Gotshell,"Cluster Syndrome",GBKQU2180585,tidal,194261837,367s,,,http://www.tidal.com/track/194261837
"Sonus One",7Function,Metropol,DEKB72062918,tidal,195297451,423s,,,http://www.tidal.com/track/195297451
Venere,PVS,"Grande Giove",NLCK41076770,tidal,160101061,372s,,,http://www.tidal.com/track/160101061
"Controlled (Original Mix)","Antonio De Angelis","Connection Series #A4",DEKB72063020,tidal,194070021,333s,,,http://www.tidal.com/track/194070021
"Escape from Tarkov",Kølpøs,"Vastitas Borealis",NLCK41091463,tidal,194168513,320s,,,http://www.tidal.com/track/194168513
Checkmate,"Phil Berg",HYS.K005.1,NLCK41092531,tidal,198318609,334s,,,http://www.tidal.com/track/198318609
Allergically,"Dani Vegas","Monark Series 01",GBKQU2182662,tidal,193799861,351s,,,http://www.tidal.com/track/193799861
Kaleidoscope,"Arthur Robert","Arrival Pt. 1",DECY52000800,tidal,271248241,379s,,,http://www.tidal.com/track/271248241
"Water Moving",Gotshell,"Olympian 21",NLPJ72100374,tidal,194398803,288s,,,http://www.tidal.com/track/194398803
"Gamma 01","Pfirter, Oliver Rosemann",Gamma,DECY52101680,tidal,194711802,317s,,,http://www.tidal.com/track/194711802
"Moon Landing Conspiracy (Translate Remix)",Ecilo,Antimatter,NLCK41092652,tidal,200944684,393s,,,http://www.tidal.com/track/200944684
"Need (Rene Wise Remix)",Ignez,SMV004,QZNWW2113482,tidal,307288022,329s,,,http://www.tidal.com/track/307288022
Hammond,"Nicolas Vogler","Warehouse Jazz",GBKQU2158989,tidal,196053321,252s,,,http://www.tidal.com/track/196053321
"Violet Drive Space","A Thousand Details","Sewer Stories",NLCK41092385,tidal,197253826,334s,,,http://www.tidal.com/track/197253826
